alguna; irgendeine
algún; irgendein
resfriado; Erkältung
mascarilla; Maske
eh; äh
instrucción; Anweisungen
aspirina; Aspirin
fumar; rauchen
alcohol; Alkohol
enfermedad; Krankheit
traduzco; übersetze
no entiendo; verstehe
tos; Husten
idioma; Sprache
paciente; geduldig
traducir; übersetzen
auxilio; Hilfe
lento; langsam
ambulancia; Krankenwagen
urgente; dringend
corazón; Herz
conduzco; fahre
grave; ernst
cabeza; Kopf
emergencia; Notfall
conducir; fahren
conozco a; kenne
tener; haben
alergia; Allergie
sentirse; ich fühle mich
conocer a; du kennst
papel; Papier
invitar a; einladen
juguete; Spiel
patineta; Skateboard
al mediodía; mittags
traer; mitbringen
uniforme; Uniform
lavadora; Waschmaschine
ordenar; aufräumen
traigo; bringe, bringen, Bringe
hago; mache, treibe
cuaderno; Heft
regla; Lineal
inteligente; inteligent
y cuarto; Viertel nach
generalmente; generell
salgo de; verlasse
tener sueño; müde sein
terminar; beenden
en punto; um genau
como; esse, verzehre, als
experiencia; Erfahrung
niñero; Babysitter
salir de; verlassen
pagar; bezahlen
tarjeta de crédito; Kreditkarte
moneda; Münzen
nieve; Schnee
lluvia; Regen
probador; Umkleidekabine
marrón; braun
mejor; besser
de acuerdo; einverstanden
pañuelo; Tuch
arete; arete
incómodo; unbequem
shorts; kurze Hose
ropa interior; Unterwäsche
cuáles; welche
pijama; Pyjama
internet; Internet
bah; puh
cuál; welche
sandalia; Sandalen
página web; Website
basta de; Schluss mit
criticón; nörglerisch
desastre; Katastrophe
terrible; schrecklich
chisme; Klatsch
champán; Champagner
raro; komisch
sucio; schmutzig
enchilada; Enchilada
qué emoción; wie aufregend
salud; prost
qué lástima; wie schade
asustado; verängstigt
rock; Rock
todo el mundo; alle
argentino; argentinisch
limonada; Limonade
cámara; Kamera
empanada; Empanada
treinta; dreißig
botella; Flasche
cumplir; werden
piñata; Piñata
está bueno; ist gut
dolor de estómago; Bauchschmerzen
tarta; -kuchen
cerdo; Schwein
alérgico; allergisch
odiar; hassen
en vez de; statt
necesario; notwendig
maíz; Mais
marca; Marke
me puede ayudar; können Sie mir helfen
infusión; Kräutertee
típico; typisch
camarón; Garnele
de allá; dort drüben
africano; afrikanisch
chile; Chili
hacer la compra; einkaufen gehen, Einkaufen
vendedor; Verkäufer
de ahí; Daher
rellenar; füllen
exótico; exotisch
especia; Gewürz
asado; gegrillt
qué mala suerte; was für ein Pech
cambiar dinero; wechseln
dólar; Dollar
optimista; Optimist
campamento; Camp
cajero automático; Geldautomat
aventura; Abenteuer
aquellas; jene
por fin; endlich
castillo; Schloss
distraído; abgelenkt
qué tonto; wie dumm, Wie dumm
desafortunadamente; leider
aquellos; jene
encontrar; finden
turismo; Tourismus
